OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE589375122022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE591603442022,TRAILER_CONTAINER20,SKB,2022-02-11,JABODETABEK-JAWA BARAT,0
VE588930612022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE588929772022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589522302022,TRAILER_CONTAINER20,JI,2022-01-19,JABODETABEK-JAWA BARAT,0
VE588930112022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE590262842022,TRAILER_CONTAINER20,JI,2022-01-27,JABODETABEK-JAWA BARAT,0
VE591738582022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591738342022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591735322022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591734922022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE594266222022,TRAILER_CONTAINER20,SKB,2022-03-14,JABODETABEK-JAWA BARAT,0
VE594266172022,TRAILER_CONTAINER20,SKB,2022-03-14,JABODETABEK-JAWA BARAT,0
VE596469172022,TRAILER_CONTAINER20,SKB,2022-04-06,JABODETABEK-JAWA BARAT,0
